anio,municipio_id,municipio_nombre,promocion_efectiva_primaria,promocion_efectiva_secundaria,repitencia_primaria,repitencia_secundaria,reinscripcion_primaria,reinscripcion_secundaria,abandono_interanual_primaria,abandono_interanual_secundaria,alumnos_promovidos_primaria,alumnos_promovidos_secundaria,alumnos_no_promovidos_primaria,alumnos_no_promovidos_secundaria,salidos_sin_pase_primaria,salidos_sin_pase_secundaria,salidos_con_pase_primaria,salidos_con_pase_secundaria,sobreedad_primaria,sobreedad_secundaria,sobreedad_avanzada_primaria,sobreedad_avanzada_secundaria
2020,6028,Almirante Brown,99.74,99.97,0.08,0.03,0.0,0.33,0.18,-0.33,100.0,97.69,0.0,2.31,0.01,0.16,3.42,2.6,5.67,23.19,1.36,8.04
2021,6028,Almirante Brown,95.97,91.83,2.64,4.58,0.08,0.51,1.31,3.08,98.45,91.59,1.55,8.41,0.02,0.17,1.58,0.89,4.87,22.71,1.16,7.81
2022,6028,Almirante Brown,96.59,90.94,2.77,4.75,0.16,0.45,0.49,3.85,97.61,89.27,2.39,10.73,0.01,0.42,3.89,1.67,4.72,20.24,0.97,6.33
2012,6077,Arrecifes,97.31,77.87,2.63,12.79,0.16,3.85,-0.1,5.49,98.66,69.33,1.34,30.67,0.12,7.42,3.26,4.47,13.6,42.28,3.21,21.1
2013,6077,Arrecifes,98.72,72.52,1.8,16.42,0.07,1.9,-0.59,9.16,98.38,71.04,1.62,28.96,0.41,4.38,4.36,4.67,12.39,37.18,2.52,16.16
2014,6077,Arrecifes,97.7,73.88,1.28,16.16,0.23,2.21,0.79,7.75,98.68,73.87,1.32,26.13,0.13,3.49,4.28,5.39,11.51,40.25,2.27,18.88
2015,6077,Arrecifes,97.19,68.84,2.68,20.83,0.1,4.18,0.03,6.15,97.54,68.64,2.46,31.36,0.03,4.21,4.55,4.92,8.24,40.36,1.26,18.72
2016,6077,Arrecifes,94.0,71.8,5.19,21.38,0.23,2.67,0.57,4.14,98.15,69.01,1.85,30.99,0.0,3.7,3.12,6.26,8.75,43.19,1.04,22.44
2017,6077,Arrecifes,95.11,78.36,4.56,22.88,0.26,5.01,0.07,-6.25,98.42,72.35,1.58,27.65,0.06,0.93,3.69,3.7,8.93,43.25,1.18,22.93
2018,6077,Arrecifes,93.79,73.61,4.55,19.73,0.03,4.84,1.62,1.82,98.42,69.24,1.58,30.76,0.19,1.48,4.17,5.08,7.25,40.4,1.07,20.96
2019,6077,Arrecifes,93.38,75.67,4.97,16.73,0.32,3.38,1.32,4.22,98.35,75.56,1.65,24.44,0.06,2.1,3.24,7.81,8.1,40.81,0.97,20.01
2020,6077,Arrecifes,99.55,95.79,0.26,0.0,0.06,0.46,0.13,3.75,100.0,97.46,0.0,2.54,0.0,0.35,3.17,6.33,8.21,39.26,0.91,20.53
2021,6077,Arrecifes,96.45,78.49,2.68,14.96,0.42,2.51,0.45,4.04,99.67,74.39,0.33,25.61,0.0,2.82,1.0,3.22,5.56,30.55,0.61,14.93
2022,6077,Arrecifes,96.76,77.68,2.75,17.4,0.13,1.23,0.36,3.69,98.45,66.3,1.55,33.7,0.03,0.91,3.35,6.26,4.65,32.6,0.29,14.78
2012,6035,Avellaneda,96.01,80.31,2.91,10.44,0.17,1.81,0.9,7.44,96.96,78.52,3.04,21.48,0.24,0.78,3.34,3.45,12.13,38.84,3.45,17.63
2013,6035,Avellaneda,97.24,80.84,1.83,10.36,0.16,2.36,0.78,6.44,97.97,78.04,2.03,21.96,0.26,1.0,3.14,3.22,11.82,35.81,3.21,15.61
2014,6035,Avellaneda,96.63,82.41,2.25,9.3,0.09,1.11,1.04,7.18,97.92,79.69,2.08,20.31,0.2,0.73,3.41,3.03,9.5,36.92,2.56,15.24
2015,6035,Avellaneda,96.73,81.89,2.38,11.25,0.06,1.5,0.83,5.36,98.06,78.14,1.94,21.86,0.17,0.66,3.24,2.92,8.93,34.59,2.25,14.66
2016,6035,Avellaneda,94.92,81.36,3.94,11.54,0.04,1.79,1.1,5.31,96.91,78.34,3.09,21.66,0.42,0.42,2.76,2.35,8.67,34.47,2.03,14.85
2017,6035,Avellaneda,93.34,81.92,5.25,12.41,0.11,2.16,1.3,3.51,97.02,76.84,2.98,23.16,0.21,0.79,2.98,2.47,9.38,35.11,2.25,15.21
2018,6035,Avellaneda,94.55,82.56,4.55,12.49,0.15,0.93,0.75,4.02,97.03,79.75,2.97,20.25,0.3,0.35,3.18,2.47,8.98,34.57,2.19,15.76
2019,6035,Avellaneda,95.07,85.46,4.26,11.32,0.07,0.9,0.61,2.32,97.29,80.17,2.71,19.83,0.21,0.22,4.08,2.2,8.65,31.99,2.06,13.97
2020,6035,Avellaneda,99.24,99.86,0.07,0.05,0.13,0.32,0.56,-0.23,99.98,98.41,0.02,1.59,0.05,0.5,3.37,2.44,8.3,30.16,1.73,13.28
2021,6035,Avellaneda,94.35,90.18,4.5,4.89,0.11,0.23,1.04,4.69,96.68,88.73,3.32,11.27,0.23,0.16,1.42,0.97,7.01,28.56,1.46,12.02
2022,6035,Avellaneda,95.82,88.5,4.2,7.73,0.2,1.44,-0.22,2.33,96.51,84.23,3.49,15.77,0.09,0.45,2.86,1.84,7.84,25.29,1.41,9.48
2012,6042,Ayacucho,94.15,84.32,3.26,6.62,0.13,2.33,2.46,6.73,96.81,87.11,3.19,12.89,0.17,4.03,4.57,4.99,13.38,33.32,3.04,13.98
2013,6042,Ayacucho,99.14,85.36,1.31,4.65,0.05,0.42,-0.5,9.57,98.87,86.85,1.13,13.15,0.69,1.96,4.79,7.63,11.83,32.06,2.57,12.97
2014,6042,Ayacucho,97.68,84.7,1.4,5.22,0.0,1.92,0.92,8.16,99.34,85.0,0.66,15.0,0.08,3.13,3.72,9.12,8.11,26.17,2.15,8.37
2015,6042,Ayacucho,97.74,88.01,1.17,5.53,0.09,0.98,1.0,5.48,98.56,85.67,1.44,14.33,0.08,1.73,3.94,7.91,8.47,27.46,1.48,10.8
2016,6042,Ayacucho,93.93,82.4,3.43,10.88,0.0,1.93,2.65,4.79,97.9,86.45,2.1,13.55,0.13,2.18,4.26,5.88,7.63,27.38,1.3,9.42
2017,6042,Ayacucho,97.85,85.11,2.28,8.49,0.0,1.3,-0.13,5.09,97.61,81.14,2.39,18.86,0.17,1.88,3.7,5.23,7.34,25.32,0.63,10.19
2018,6042,Ayacucho,97.71,86.48,2.98,9.32,0.27,0.54,-0.96,3.66,97.72,86.46,2.28,13.54,0.13,0.92,4.52,6.78,6.36,22.66,0.82,7.77
2019,6042,Ayacucho,97.12,88.55,1.93,5.77,0.04,0.47,0.9,5.2,97.99,86.69,2.01,13.31,0.21,0.32,3.64,6.21,6.43,18.4,0.85,7.47
2020,6042,Ayacucho,99.59,96.38,0.28,0.19,0.0,0.0,0.14,3.43,100.0,98.86,0.0,1.14,0.09,0.42,3.98,4.97,4.45,13.35,0.55,4.37
2021,6042,Ayacucho,96.16,98.22,3.37,2.57,0.28,0.0,0.18,-0.8,97.69,91.86,2.31,8.14,0.0,0.21,0.68,1.85,3.51,11.81,0.51,1.86
2022,6042,Ayacucho,95.99,88.93,2.94,5.75,0.14,0.0,0.93,5.32,98.17,90.76,1.83,9.24,0.0,0.12,3.26,5.14,5.96,13.65,0.56,3.17
2012,6049,Azul,96.77,81.36,2.63,11.26,0.1,2.16,0.5,5.23,97.64,76.56,2.36,23.44,0.13,3.41,3.64,5.27,13.33,37.66,3.55,18.08
2013,6049,Azul,97.96,77.22,1.62,11.51,0.06,0.82,0.36,10.46,98.8,78.13,1.2,21.87,0.17,5.37,3.54,4.65,12.87,39.94,3.28,20.54
2014,6049,Azul,98.11,79.56,1.36,11.49,0.15,0.48,0.38,8.47,98.3,80.2,1.7,19.8,0.04,3.31,3.37,4.71,10.55,35.46,2.62,17.79
2015,6049,Azul,97.8,80.9,1.66,10.35,0.04,0.94,0.49,7.82,99.41,81.34,0.59,18.66,0.1,2.75,4.27,5.32,8.64,34.51,1.8,15.37
2016,6049,Azul,97.74,81.02,2.3,9.82,0.02,0.83,-0.06,8.34,98.33,79.2,1.67,20.8,0.37,2.04,2.52,4.45,8.2,36.46,1.56,15.35
2017,6049,Azul,96.79,81.59,2.15,9.52,0.03,0.71,1.04,8.18,98.42,81.31,1.58,18.69,0.04,1.39,3.31,3.52,7.44,27.72,1.37,10.92
2018,6049,Azul,97.12,92.28,2.53,7.49,0.24,0.43,0.11,-0.2,98.3,87.19,1.7,12.81,0.01,1.58,3.56,3.37,6.45,26.79,1.05,11.29
2019,6049,Azul,96.69,91.35,2.51,6.33,0.3,0.37,0.5,1.95,98.65,91.68,1.35,8.32,0.06,0.68,3.85,3.27,5.28,30.53,0.97,13.54
2020,6049,Azul,99.77,99.94,0.18,0.11,0.29,0.13,-0.24,-0.19,100.0,98.12,0.0,1.88,0.03,0.09,2.99,3.3,4.66,31.17,0.68,14.22
2021,6049,Azul,97.01,90.6,2.54,4.79,0.1,0.18,0.34,4.42,98.5,93.13,1.5,6.87,0.0,0.41,1.03,1.59,3.69,28.33,0.39,12.77
2022,6049,Azul,97.14,92.26,2.45,5.11,0.14,0.49,0.27,2.13,97.67,90.3,2.33,9.7,0.01,0.2,2.44,2.39,4.03,22.96,0.48,9.96
2012,6056,Bahia Blanca,97.21,81.44,2.66,10.81,0.07,1.04,0.06,6.72,97.61,78.02,2.39,21.98,0.11,1.41,3.89,4.12,12.8,37.0,3.08,16.5
2013,6056,Bahia Blanca,98.01,82.18,1.56,11.52,0.15,2.03,0.27,4.28,98.62,80.01,1.38,19.99,0.02,1.4,3.47,3.81,11.96,34.08,2.77,15.49
2014,6056,Bahia Blanca,97.87,81.73,1.23,11.79,0.15,1.06,0.75,5.42,98.86,79.26,1.14,20.74,0.07,1.17,4.33,3.92,8.82,34.16,2.08,14.72
2015,6056,Bahia Blanca,98.1,83.33,1.79,10.92,0.13,1.12,-0.02,4.63,98.26,80.44,1.74,19.56,0.07,1.04,3.97,4.11,8.59,34.58,1.79,14.76
2016,6056,Bahia Blanca,96.68,82.42,3.16,12.24,0.03,1.54,0.13,3.8,97.69,79.71,2.31,20.29,0.05,0.68,3.08,4.1,7.51,31.18,1.46,13.12
2017,6056,Bahia Blanca,96.53,83.86,3.14,11.37,0.08,1.23,0.25,3.55,98.19,80.71,1.81,19.29,0.02,0.87,2.97,3.67,6.61,32.34,1.24,13.08
2018,6056,Bahia Blanca,97.11,85.94,2.38,10.61,0.03,0.68,0.47,2.77,98.57,82.31,1.43,17.69,0.01,0.83,3.04,3.63,6.05,30.64,1.09,12.53
2019,6056,Bahia Blanca,97.07,88.01,2.46,9.64,0.06,0.75,0.4,1.59,98.19,83.56,1.81,16.44,0.02,0.45,3.05,3.09,5.42,26.85,0.89,11.32
2020,6056,Bahia Blanca,99.74,99.15,0.08,0.01,0.04,0.31,0.14,0.54,100.0,98.01,0.0,1.99,0.01,0.08,3.19,3.38,5.06,27.49,0.8,11.69
2021,6056,Bahia Blanca,96.48,89.08,3.12,7.08,0.03,0.46,0.37,3.38,97.72,86.73,2.28,13.27,0.0,0.28,1.31,1.74,3.97,23.57,0.6,9.27
2022,6056,Bahia Blanca,96.8,88.54,2.59,8.41,0.04,0.37,0.57,2.69,97.83,85.15,2.17,14.85,0.02,0.36,3.11,2.36,5.43,21.59,0.57,8.07
2012,6063,Balcarce,98.26,79.1,1.37,10.27,0.05,1.64,0.32,8.99,98.59,84.24,1.41,15.76,0.0,0.82,3.76,3.8,7.13,24.93,0.95,8.47
2013,6063,Balcarce,99.7,80.31,0.44,8.78,0.14,2.83,-0.28,8.08,99.58,82.62,0.42,17.38,0.04,0.68,4.48,3.76,6.45,24.91,0.78,7.32
2014,6063,Balcarce,98.8,78.42,0.57,9.53,0.14,2.45,0.5,9.6,99.33,81.68,0.67,18.32,0.09,0.5,4.14,5.09,5.0,23.12,0.57,7.18
2015,6063,Balcarce,98.67,81.12,0.65,9.58,0.02,2.73,0.65,6.57,99.17,85.55,0.83,14.45,0.14,0.5,3.68,2.83,3.85,22.38,0.37,6.38
2016,6063,Balcarce,96.89,80.44,2.51,10.81,0.09,2.82,0.51,5.94,97.89,84.41,2.11,15.59,0.05,0.24,3.64,3.69,3.69,24.36,0.21,8.24
2017,6063,Balcarce,96.34,76.4,3.64,11.28,0.23,0.85,-0.21,11.47,97.92,87.07,2.08,12.93,0.18,0.49,3.31,2.68,4.54,21.39,0.32,7.94
2018,6063,Balcarce,96.4,85.84,3.57,12.43,0.11,2.63,-0.09,-0.9,98.99,87.82,1.01,12.18,0.0,0.29,3.29,2.06,5.31,21.0,0.3,7.86
2019,6063,Balcarce,96.29,91.55,2.62,5.75,0.11,0.77,0.98,1.93,99.2,89.11,0.8,10.89,0.0,0.95,3.17,2.76,4.8,18.28,0.09,6.38
2020,6063,Balcarce,99.76,100.81,0.22,0.02,0.13,0.0,-0.11,-0.83,100.0,96.86,0.0,3.14,0.02,0.04,4.03,2.38,4.88,18.16,0.16,6.47
2021,6063,Balcarce,96.86,94.43,2.09,4.64,0.26,2.19,0.78,-1.27,99.19,90.72,0.81,9.28,0.02,0.56,0.64,0.97,3.4,17.83,0.17,5.19
2022,6063,Balcarce,98.89,93.84,1.13,4.2,0.11,0.29,-0.13,1.66,98.95,92.03,1.05,7.97,0.0,0.23,2.62,2.15,3.27,17.57,0.22,4.9
2012,6070,Baradero,98.03,86.49,1.44,6.86,0.26,1.5,0.26,5.15,98.84,87.48,1.16,12.52,0.15,1.7,3.03,4.55,7.9,30.26,1.34,12.7
2013,6070,Baradero,96.33,83.48,2.69,9.81,0.03,0.77,0.95,5.94,99.41,81.88,0.59,18.12,0.18,1.27,2.52,6.3,7.92,26.35,1.11,11.46
2014,6070,Baradero,99.06,85.21,1.74,8.4,0.0,1.31,-0.8,5.08,98.93,85.05,1.07,14.95,0.31,1.38,4.51,5.57,5.76,30.89,0.86,10.66
2015,6070,Baradero,98.39,83.61,1.43,9.64,0.0,3.08,0.19,3.67,98.69,86.76,1.31,13.24,0.03,1.87,4.35,3.75,5.48,26.23,0.87,10.3
2016,6070,Baradero,95.64,84.86,3.65,8.47,0.74,1.38,-0.03,5.29,98.17,85.35,1.83,14.65,0.05,0.85,3.67,3.86,6.21,27.02,1.06,10.24
2017,6070,Baradero,97.07,91.37,3.14,6.45,0.03,1.63,-0.24,0.55,98.45,86.09,1.55,13.91,0.16,0.95,3.03,4.3,6.23,21.43,0.99,7.53
2018,6070,Baradero,96.27,83.56,3.0,11.14,0.03,3.84,0.71,1.46,98.46,86.61,1.54,13.39,0.1,1.61,3.57,4.18,5.16,28.82,0.74,10.96
2019,6070,Baradero,95.27,86.72,2.76,8.52,0.0,2.33,1.97,2.43,99.2,89.16,0.8,10.84,0.05,1.68,3.55,3.34,5.49,25.38,1.03,10.34
2020,6070,Baradero,100.18,99.09,0.13,0.02,0.08,0.69,-0.4,0.2,100.0,98.98,0.0,1.02,0.0,0.22,4.0,5.77,5.28,23.11,0.45,8.77
2021,6070,Baradero,96.97,88.14,2.58,7.48,0.05,1.21,0.39,3.17,99.36,85.86,0.64,14.14,0.05,0.29,1.23,1.52,3.58,23.97,0.45,9.52
2022,6070,Baradero,97.64,89.86,1.86,7.56,0.29,1.53,0.21,1.05,98.1,87.25,1.9,12.75,0.0,0.33,2.61,3.44,2.73,20.45,0.24,7.22
2012,6091,Berazategui,97.94,81.63,2.02,9.62,0.16,1.53,-0.11,7.23,98.18,79.92,1.82,20.08,0.3,1.9,3.63,3.68,11.28,34.61,2.9,14.87
2013,6091,Berazategui,98.49,82.6,0.98,9.89,0.06,1.88,0.47,5.63,99.08,80.54,0.92,19.46,0.19,1.47,3.33,4.19,9.74,32.24,2.37,13.39
2014,6091,Berazategui,98.85,84.26,1.02,9.24,0.1,0.82,0.04,5.67,98.93,81.44,1.07,18.56,0.24,1.02,2.94,3.59,8.43,32.71,1.69,13.2
2015,6091,Berazategui,98.7,85.03,1.26,8.81,0.11,1.17,-0.07,4.99,99.35,82.57,0.65,17.43,0.12,1.09,3.43,3.83,7.29,30.96,1.41,12.09
2016,6091,Berazategui,95.83,82.02,3.16,10.8,0.16,1.08,0.85,6.1,98.04,83.28,1.96,16.72,0.12,0.73,2.07,2.41,5.83,33.55,1.01,13.45
2017,6091,Berazategui,95.96,85.09,2.99,10.35,0.05,0.87,1.0,3.69,98.2,82.91,1.8,17.09,0.07,0.58,3.5,2.96,5.6,30.68,1.01,12.35
2018,6091,Berazategui,96.05,86.36,3.29,10.46,0.08,0.88,0.58,2.31,98.16,83.49,1.84,16.51,0.09,0.37,2.82,2.93,5.22,30.27,0.89,11.57
2019,6091,Berazategui,96.33,88.01,2.84,8.65,0.07,0.83,0.76,2.51,98.47,85.39,1.53,14.61,0.09,0.52,3.55,2.79,4.99,27.67,0.88,12.07
2020,6091,Berazategui,99.26,99.81,0.1,0.03,0.07,0.37,0.57,-0.21,100.0,97.55,0.0,2.45,0.02,0.08,3.02,2.59,4.38,25.04,0.64,9.76
2021,6091,Berazategui,96.85,91.01,2.43,5.96,0.08,0.06,0.63,2.97,98.64,89.79,1.36,10.21,0.04,0.2,1.59,0.86,3.37,22.43,0.6,8.33
2022,6091,Berazategui,96.68,89.93,2.55,6.52,0.04,0.14,0.74,3.4,97.64,87.44,2.36,12.56,0.03,0.14,2.99,2.11,3.88,21.5,0.48,7.63
2012,6098,Berisso,98.09,75.72,1.84,13.35,0.06,0.92,0.01,10.0,97.96,79.55,2.04,20.45,0.16,0.9,3.68,4.77,12.09,42.38,2.83,18.31
2013,6098,Berisso,98.98,74.37,0.95,14.29,0.0,1.9,0.07,9.44,99.24,73.96,0.76,26.04,0.67,0.5,3.22,4.22,10.29,39.55,2.46,18.45
2014,6098,Berisso,99.24,76.48,1.45,14.47,0.13,3.09,-0.81,5.97,98.48,76.84,1.52,23.16,0.53,0.81,2.79,2.32,9.36,37.54,2.0,17.24
2015,6098,Berisso,98.61,77.3,1.93,13.98,0.06,2.57,-0.61,6.15,98.42,77.15,1.58,22.85,0.28,0.74,3.19,3.72,8.31,38.75,1.61,16.95
2016,6098,Berisso,96.22,76.55,3.72,16.29,0.08,3.74,-0.02,3.42,97.55,69.94,2.45,30.06,0.24,0.61,3.01,2.86,7.44,38.58,1.35,17.23
2017,6098,Berisso,95.25,82.54,4.54,15.0,0.47,1.07,-0.26,1.4,97.2,72.22,2.8,27.78,0.6,0.21,2.61,3.69,7.87,39.08,1.33,17.04
2018,6098,Berisso,95.13,79.11,4.26,14.92,0.03,3.95,0.58,2.01,97.17,79.19,2.83,20.81,0.16,0.2,3.02,3.02,8.6,37.14,1.4,16.66
2019,6098,Berisso,96.52,82.93,3.56,14.42,0.15,0.97,-0.23,1.67,97.84,78.46,2.16,21.54,0.09,0.28,2.94,4.07,8.45,36.37,1.63,15.7
2020,6098,Berisso,100.01,99.26,0.01,0.06,0.0,0.01,-0.02,0.67,99.93,99.75,0.07,0.25,0.05,0.23,2.69,2.81,7.36,38.11,1.2,17.07
2021,6098,Berisso,96.27,90.92,3.57,7.39,0.01,0.68,0.15,1.01,98.22,91.38,1.78,8.62,0.14,0.06,0.75,0.42,4.83,31.2,0.91,12.68
2022,6098,Berisso,97.82,90.58,2.48,6.86,0.0,1.11,-0.3,1.45,97.7,91.76,2.3,8.24,0.21,0.02,2.81,1.5,6.24,26.73,0.87,9.59
2012,6105,Bolivar,96.65,80.44,3.57,10.53,0.25,1.05,-0.47,7.98,97.66,76.95,2.34,23.05,0.18,2.16,4.79,4.41,10.81,28.24,0.79,9.52
2013,6105,Bolivar,97.79,82.99,1.34,8.41,0.06,0.18,0.81,8.41,99.31,78.96,0.69,21.04,0.06,1.09,4.34,4.36,9.92,27.63,1.03,8.05
2014,6105,Bolivar,98.49,85.97,1.33,8.55,0.03,0.15,0.15,5.34,98.91,78.82,1.09,21.18,0.09,0.5,3.76,3.91,8.37,30.68,0.93,8.51
2015,6105,Bolivar,95.84,82.31,3.85,11.21,0.13,1.25,0.19,5.23,97.86,77.69,2.14,22.31,0.09,0.14,4.22,3.34,7.35,27.53,1.03,8.31
2016,6105,Bolivar,95.18,83.16,3.48,10.5,0.0,1.59,1.34,4.74,97.67,77.13,2.33,22.87,0.21,1.34,3.93,3.63,8.25,30.59,0.87,7.86
2017,6105,Bolivar,93.37,83.05,4.78,13.52,0.38,1.37,1.47,2.06,97.62,79.45,2.38,20.55,0.0,0.42,5.16,2.74,6.72,32.85,0.75,9.54
2018,6105,Bolivar,94.08,89.0,3.88,8.17,0.28,0.52,1.75,2.3,97.88,80.34,2.12,19.66,0.0,0.17,3.67,3.43,7.67,31.9,0.78,11.64
2019,6105,Bolivar,95.18,88.96,4.36,8.05,0.16,1.29,0.31,1.7,98.14,83.11,1.86,16.89,0.06,0.67,4.98,3.16,6.75,30.76,0.9,11.63
2020,6105,Bolivar,99.69,99.44,0.22,0.16,0.06,0.07,0.03,0.33,99.6,97.06,0.4,2.94,0.0,0.23,2.89,3.68,7.48,32.49,1.27,11.62
2021,6105,Bolivar,94.64,91.34,4.37,3.8,0.12,0.29,0.86,4.57,97.28,83.54,2.72,16.46,0.03,0.19,1.8,0.64,3.51,32.11,0.68,10.26
2022,6105,Bolivar,96.86,88.56,3.1,9.12,0.62,1.79,-0.59,0.53,97.29,84.29,2.71,15.71,0.0,0.29,3.95,2.26,4.87,19.31,0.47,5.49
2012,6112,Bragado,97.51,80.89,2.98,10.05,0.05,1.2,-0.54,7.85,98.58,83.78,1.42,16.22,0.6,4.93,3.07,3.24,10.49,34.47,2.46,16.16
